City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
163,Cabedelo,BR,84.87,overcast clouds,-6.9811,-34.8339,Pousada Camboinha
165,Namatanai,PG,79.45,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
166,Tateyama,JP,74.1,few clouds,34.9833,139.8667,Tateyama Seaside Hotel
170,Yondo,CO,79.29,broken clouds,7.0062,-73.9097,estacion sayab sede la felicidad
172,Kuito,AO,80.74,clear sky,-12.3833,16.9333,Herdeiros de Antunes Capusso
173,Hambantota,LK,77.34,light rain,6.1241,81.1185,Bungalow 63
175,Liling,CN,84.81,overcast clouds,27.6667,113.5,Shangri-La Hotel
177,Uromi,NG,76.66,moderate rain,6.7,6.3333,Royal Motel
179,Naugachhia,IN,86.97,overcast clouds,25.4,87.1,Balram Lodge (बलराम लौज)
188,Jalna,IN,76.64,few clouds,19.8333,75.8833,HOTEL SHIVNERI PALACE
190,Kroya,ID,77.56,overcast clouds,-7.6331,109.2461,Wisma Legoq Kost
193,Agadir,MA,82.85,clear sky,30.4202,-9.5982,Iberostar Founty Beach
195,Oussouye,SN,86.18,moderate rain,12.485,-16.5469,Auberge du Routard
197,Cockburn Town,TC,82.26,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
198,Bac Lieu,VN,79.56,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
203,Eyl,SO,78.57,clear sky,7.9803,49.8164,EYL AQUE SYSTEM
206,Mutis,CO,80.02,light rain,6.2262,-77.4044,Paraiso Escondido
213,Banda Aceh,ID,78.87,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
214,Iquitos,PE,80.64,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
215,Benghazi,LY,88.11,scattered clouds,32.1167,20.0667,Tibesti Hotel
218,Bashtanka,UA,73.63,scattered clouds,47.4072,32.4387,Свято Успенський храм ПЦУ
227,Isangel,VU,74.55,clear sky,-19.55,169.2667,Tanna Lodge
231,San Carlos,VE,80.71,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
233,Sao Jose Da Coroa Grande,BR,81.27,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
234,Masvingo,ZW,84.25,clear sky,-20.0637,30.8277,River Side Lodge
235,Novo Horizonte,BR,80.64,broken clouds,-21.4681,-49.2208,Alvorada Hotel
237,Karratha,AU,72.32,clear sky,-20.7377,116.8463,ibis Styles Karratha
238,Ouargaye,BF,84.99,broken clouds,11.5033,0.0572,Résidence le Cotonnier
240,Estelle,US,72.0,clear sky,29.8458,-90.1067,Ohio
242,Ponta Do Sol,PT,75.7,broken clouds,32.6667,-17.1,Hotel do Campo
243,Peniche,PT,73.29,scattered clouds,39.3558,-9.3811,Hotel Star inn Peniche
247,Port Elizabeth,ZA,74.1,broken clouds,-33.918,25.5701,39 On Nile Guest House
248,Kilis,TR,89.83,clear sky,36.7161,37.115,Otel Kilis Mer-tur Otel Ve Mado Cafe
249,High Rock,BS,77.02,few clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
251,Sola,VU,79.66,broken clouds,-13.8833,167.55,Leumerus Bungalows
252,Santa Helena De Goias,BR,87.4,clear sky,-17.8136,-50.5969,Castro Castle Hotel
253,Lata,PT,76.5,broken clouds,40.1629,-8.3327,Casa Maquia
254,Kovur,IN,76.57,light rain,14.4833,79.9833,Hotel Yesh Park
260,Vao,NC,72.03,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
262,Quatre Cocos,MU,71.71,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
263,Diapaga,BF,81.7,overcast clouds,12.0708,1.7889,Hôtel GACILIE
268,Lorengau,PG,81.34,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
271,Vaini,TO,71.76,few clouds,-21.2,-175.2,Keleti Beach Resort
272,Bandarbeyla,SO,78.31,few clouds,9.4942,50.8122,JABIR HOTEL
273,Sao Filipe,CV,79.79,light rain,14.8961,-24.4956,Hotel Xaguate
274,Cabo San Lucas,MX,84.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
277,Guigue,VE,78.62,overcast clouds,10.0853,-67.7792,La vasquereña
284,Mahanje,TZ,77.36,overcast clouds,-9.9333,35.3333,Amani social Hall
288,Buala,SB,80.08,light rain,-8.145,159.5921,Maringe Lagoon Lodge
289,Melfi,IT,76.28,overcast clouds,40.9965,15.6514,HOTEL TERME DI RAPOLLA
291,Morant Bay,JM,85.71,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
293,Touros,BR,85.05,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
295,Mangrol,IN,81.03,clear sky,21.1167,70.1167,Hotel The Royal Honours
298,Mbekenyera,TZ,80.11,scattered clouds,-10.0,38.9833,
299,Tura,IN,76.55,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
300,Gurjaani,GE,73.71,clear sky,41.7429,45.8011,The Role House
302,Lichinga,MZ,75.29,broken clouds,-13.3128,35.2406,Residencial Bendiak
304,Dingle,PH,76.17,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
306,Upata,VE,83.37,overcast clouds,8.0086,-62.3989,Posada Villa Nela
309,Bengkulu,ID,76.98,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
310,Kavieng,PG,81.41,light rain,-2.5744,150.7967,Nusa Island Retreat
311,Atambua,ID,75.9,overcast clouds,-9.1061,124.8925,Ros Muskanan
316,Wuan,CN,76.59,clear sky,31.6836,112.0044,武镇大酒店
318,Galle,LK,79.14,light rain,6.0367,80.217,Amangalla
319,Dakar,SN,86.88,overcast clouds,14.6937,-17.4441,Novotel Dakar
320,Dhidhdhoo,MV,80.28,overcast clouds,6.8833,73.1,Dhidhoo beach
323,Majene,ID,79.84,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
326,Ambon,ID,78.94,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
328,Santa Cruz,BO,73.24,overcast clouds,-17.8,-63.1667,Aviador Hotel Boutique
333,Buchanan,LR,81.39,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
334,Puerto Colombia,CO,84.29,broken clouds,10.9878,-74.9547,Hotel El Emigrante
337,Chirilagua,SV,75.45,overcast clouds,13.2203,-88.1386,Hogar De Espera Materno
339,Samarai,PG,80.8,clear sky,-10.6167,150.6667,Nuli Sapi
340,Hirara,JP,82.4,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
341,New Smyrna Beach,US,71.02,scattered clouds,29.0258,-80.927,Hampton Inn New Smyrna Beach
343,Pandan,PH,79.97,few clouds,14.0453,124.1694,Bonifacio Lodge
345,Poso,ID,76.6,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
349,Viedma,AR,72.1,overcast clouds,-40.8135,-62.9967,Hotel Cristal
350,Payo,ID,74.01,scattered clouds,-3.7508,103.6372,Mess keban agung
358,Nova Olimpia,BR,78.06,overcast clouds,-14.7972,-57.2881,Motel glamour
361,Nuevitas,CU,84.24,overcast clouds,21.5453,-77.2644,Hotel Caonaba
362,Georgetown,MY,85.95,moderate rain,5.4112,100.3354,Cititel Penang
363,Luz,BR,78.8,overcast clouds,-19.8014,-45.6856,Hotel Turista
368,Giaginskaya,RU,72.82,clear sky,44.8621,40.0719,
371,Bogande,BF,89.38,overcast clouds,12.9714,-0.1436,Auberge Wendkouni
373,Lamu,KE,79.02,scattered clouds,-2.2717,40.902,Lamu House
374,Marzuq,YE,78.3,scattered clouds,14.4,46.4667,حيد القفلة
376,Pak Phanang,TH,84.07,overcast clouds,8.3511,100.202,Green Park Inn Hotel
377,San Cristobal,VE,70.43,overcast clouds,7.7669,-72.225,Pirineos
378,Miri,MY,80.92,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
379,Mykhaylivka,UA,73.85,light rain,47.2724,35.2224,Hotelʹ
380,Maragogi,BR,80.92,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
381,Alofi,NU,74.79,broken clouds,-19.0595,-169.9187,Taloa Heights
382,Port Blair,IN,81.81,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
383,Ambulu,ID,76.39,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
384,Makasar,ID,75.25,few clouds,-5.14,119.4221,Aryaduta Makassar
386,Juba,SS,82.53,scattered clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
389,Lithakia,GR,79.97,broken clouds,37.7167,20.8333,Zante Plaza Hotel & Apartments
390,Harnai,PK,82.56,clear sky,30.1005,67.9374,Kajo ma ma hotell
391,Kieta,PG,78.37,clear sky,-6.2167,155.6333,Uruna Bay Retreat
393,Oistins,BB,83.55,overcast clouds,13.0667,-59.5333,Butterfly Beach Hotel
394,Mahajanga,MG,78.82,few clouds,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
395,Meulaboh,ID,76.21,moderate rain,4.1363,96.1285,Kost Pria
396,Pangkalanbuun,ID,76.44,moderate rain,-2.6833,111.6167,Grand Kecubung Hotel
