City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Mar Del Plata,AR,-38.0023,-57.5575,62.62,74,0,8.05,clear sky
81,Severo-Kurilsk,RU,50.6789,156.125,47.39,88,99,12.3,light rain
82,Guerrero Negro,MX,27.9769,-114.0611,71.6,82,3,8.52,clear sky
83,Bredasdorp,ZA,-34.5322,20.0403,63.63,59,100,20.13,overcast clouds
84,Ust-Omchug,RU,61.15,149.6333,16.09,97,48,3.36,scattered clouds
85,Telciu,RO,47.4333,24.4,62.64,83,44,3.69,scattered clouds
86,Kirakira,SB,-10.4544,161.9205,80.01,82,44,6.93,scattered clouds
87,Sangar,RU,63.9242,127.4739,23.47,95,42,5.5,scattered clouds
88,Natal,BR,-5.795,-35.2094,88.02,55,40,18.41,scattered clouds
89,Faanui,PF,-16.4833,-151.75,77.29,71,0,10.54,clear sky
90,Hithadhoo,MV,-0.6,73.0833,82.22,72,66,9.48,broken clouds
91,Superior,US,46.7208,-92.1041,57.76,67,0,6.91,clear sky
92,Pevek,RU,69.7008,170.3133,30.97,66,100,10.94,overcast clouds
93,Vostok,RU,46.4856,135.8833,52.68,96,46,6.33,scattered clouds
94,Anaco,VE,9.4389,-64.4728,82.27,76,68,7.11,broken clouds
95,Norman Wells,CA,65.282,-126.8329,46.44,76,75,6.91,broken clouds
96,Belmonte,BR,-15.8631,-38.8828,75.79,86,96,8.03,overcast clouds
97,Maneadero,MX,31.7167,-116.5667,71.6,72,8,3.83,clear sky
98,Castro,BR,-24.7911,-50.0119,55.76,91,100,7.81,overcast clouds
99,Port Pirie,AU,-33.1833,138.0167,52.27,69,79,5.21,broken clouds
100,Ngawen,ID,-7.0032,111.3129,77.65,85,99,2.68,overcast clouds
101,Saskylakh,RU,71.9167,114.0833,10.72,99,84,4.63,broken clouds
102,Itarema,BR,-2.9248,-39.9167,88.07,54,13,19.08,few clouds
103,Parista,PH,15.8536,120.9282,74.03,92,25,3.85,scattered clouds
104,Asau,RO,46.4333,26.4,76.28,52,63,4.85,broken clouds
105,Pasni,PK,25.2631,63.471,79.86,78,0,14.32,clear sky
106,Fortuna,US,40.5982,-124.1573,57.92,89,0,1.99,clear sky
107,Bilma,NE,18.6853,12.9164,101.97,18,40,9.1,scattered clouds
108,Ostrovnoy,RU,68.0531,39.5131,35.6,97,100,9.04,light rain
109,Kimbe,PG,-5.5502,150.1429,74.7,89,12,4.41,few clouds
110,Kruisfontein,ZA,-34.0033,24.7314,71.89,77,100,13.67,overcast clouds
